num_checked,notes,user_id,resource_id,outstanding
1,checkout from 11/18/14,4,2,1
1,checkout from 1/27/14,11,5,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,11,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,19,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,32,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,33,0
1,checkout from 10/14/14,12,33,1
1,"Checkout from 2/9/15, returned 6/18/15.",18,37,0
1,"Checkout from 2/10/15, returned 6/18/15.",18,38,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,63,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,66,0
1,checkout from 9/11/14,24,87,1
1,"Checkout from 2/9/15, returned 6/18/15.",18,88,0
1,checkout from 2/9/15,18,129,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,131,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,158,0
20,"Checkout form 2/9/15, 18 returned on 6/18/15, 2 still outstanding.",18,159,2
1,checkout from 11/18/14,24,163,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,182,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,215,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,216,0
1,"Checkout from 2/9/15, returned 6/18/15.",18,219,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,221,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,222,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,223,0
1,"Checkout from 2/10/15, returned 6/18/15.",18,230,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,232,0
1,"Checkout from 11/18/14, returned 6/17/15.",24,239,0
1,checkout from 11/18/14,24,239,1
1,"Checkout from 2/9/15, returned 6/18/15.",18,247,0
25,"Checkout from 11/18/14, 1 returned 6/26/15, 24 outstanding.",4,249,24
1,"Checkout from 11/18/14, returned 7/7/15.",24,257,0
1,checkout from 2/9/15,18,262,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,287,0
1,"Checkout from 11/18/14, returned 6/17/15.",24,287,0
1,checkout from 10/14/14,12,291,1
1,checkout from 10/14/14,12,294,1
1,checkout from 2/9/15,18,295,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,303,0
1,checkout from 2/9/15,18,320,1
20,"Checkout form 2/9/15, 18 returned on 6/18/15, 2 still outstanding.",18,321,2
1,"Checkout from 11/18/14, returned 6/17/15.",24,329,0
1,checkout from 3/20/14,16,367,1
1,"Checkout from 2/9/15, returned 6/18/15.",18,381,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,392,0
1,checkout from 11/20/13,4,413,1
1,"Checkout from 1/30/15, returned 6/18/15.",18,2016,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,442,0
1,"Checkout from 2/9/15, returned 6/18/15.",18,444,0
1,"Checkout from 2/9/15, returned 6/18/15.",18,474,0
1,"Checkout from 2/9/15, returned 6/18/15.",18,475,0
2,checkout from 12/10/14,24,2049,2
1,"Checkout from 2/9/15, returned 6/18/15.",18,496,0
