101 More Music Games for Children,"Jerry Storms, Jos Hoenen",,,,,Instructional Material,English,,,,BOOK; Publishers Group West,1,1,Book,http://www.amazon.com/101-More-Music-Games-Children/dp/0897932986,http://ecx.images-amazon.com/images/I/81eogiiYqgL.jpg,NY
101 Music Games for Children (BOOK),"Jerry Storms, Cecilia Bowman",,,,,Instructional Material,English,,,,,1,0,Book,http://www.amazon.com/101-Music-Games-Children-Learning/dp/0897931645,http://ecx.images-amazon.com/images/I/81xkHzEZygL.jpg,NY
"150 American Folk Songs to Sing, Read and Play",Traditional,,Boosey & Hawkes,Various,,Folk Music,English,America,"Folk, American Music","American History, Folk Songs",Folk collection by the Kodaly Music Training Institute,1,1,,http://www.barnesandnoble.com/w/150-american-folk-songs-to-sing-read-and-play-katalin-komlos/1108376411?ean=9780913932049&itm=1&usri=9780913932049,http://img2.imagesbn.com/p/9780913932049_p0_v1_s260x420.jpg,NY
"200,000 Taler (DVD)",Boris Blacher,,Scholom Aleichem,,,Opera Performance,German,,,,"1970 Deutsche Oper Berlin; Modl, Reich, Weiss, Hollreiser",1,1,DVD,,,NY
27-Key Xylophone,,,,,,Musical Instrument,,,,,Beyer 27-Key Xylophone; 2 mallets and carrying case,4,3,Instrument,,,NY
A Cappella Songs for Tenor Bass Chorus,"Emly Crocker, John Leavitt",,Alfred,"TB, TTB",,,English,,,,,1,1,,http://www.halleonard.com/product/viewproduct.do?itemid=8740051&subsiteid=27&,http://www.halleonard.com/common/item_gif/08740051.gif,NY
A Cappella Songs for Tenor Bass Chorus,"Emily Crocker, John Leavitt",Sally K. Albrecht,Alfred,"SSA, SATB",Piano,Religious,Latin,Germany,Saraba,Dances,Traditional; Grades 3-4; Range E-F',3,3,,http://www.halleonard.com/product/viewproduct.do?itemid=8740051,http://www.halleonard.com/common/item_gif/08740051.gif,NY
A La Media Noche,Traditional,"Gilpin, Greg",Traditional,2-part,,Folksong,Spanish,,Christmas,,,11,11,,http://www.jwpepper.com/3138419.item#.VWczxidUiSo,,NY
A La Nanita Nana,Traditional,Valerie Shields,Fostco,SA,Piano,Carol,Spanish,Puerto Rico,"Christmas, Holiday",,,0,0,,http://www.jwpepper.com/3036647.item#.VWc0CidUiSo,,NY
A La Nanita Nana,Traditional,,,Unison,Piano,Carol,Spanish/English`,Spain,"Christmas, Holiday",,,1,1,,http://www.jwpepper.com/10035357.item#.VWc0XSdUiSo,http://cdn.jwpepper.com/covers/10035357.jpg,NY
A La Puerta del Cielo,Traditional,Jill Gallina,Traditional,2-part,,Lullaby,Spanish,,Heaven,,,5,5,,http://www.jwpepper.com/3701691.item#.VWc0hCdUiSo,http://cdn.jwpepper.com/covers/3701691.gif,NY
A Tisket A Tasket,"Ella Fitzgerlad, Al Feldman",David J. Elliot,Boosey & Hawkes,SSA,Piano,Jazz,English,,,,,2,2,Octavo,http://www.amazon.com/A-Tisket-A-Tasket-SSA/dp/B003AGATK2,,NY
A Zing-a Za,,Mary Goetze,,,,Folk,English,,,,,1,1,,http://www.jwpepper.com/1616598.item#.VWc01ydUiSo,http://cdn.jwpepper.com/covers/1616598.gif,NY
"A, Jul med din Glede",Traditional,Valerie Shields,Fostco,SA,Piano,Carol,Norwegian,,"Christmas, Holiday",,,1,1,,http://www.amazon.com/Glede-Filled-Gladness-Cappella-SHEET/dp/B003B9C88E,http://ecx.images-amazon.com/images/I/71RgrwmWvvL.jpg,NY
Abide With Me,William H. Monk,Blake R. Henson,GIA,SATB,Piano,Carol,English,,"Christmas, Holiday",,,1,1,Octavo,http://www.jwpepper.com/10069882.item#.VWc1JSdUiSo,http://cdn.jwpepper.com/covers/10069882.jpg,NY
Accents on Opera: A Series of Brief Essays Stressing Knwon and Little Known Facts and Facets of a Familiar Art,"Boris Goldovsky, Mary Ellis Peltz",,"Farrar, Straus & Young",,,Guide,English,,,,1953; The Metropolitan Opera Guild,1,1,,http://www.amazon.com/Accents-Opera-Stressing-Familiar-Reprint/dp/0836923987,http://ecx.images-amazon.com/images/I/719XIrIZ95L.jpg,NY
Accentuate the Positive,"Arlen, Harold","Zegree, Steve","Mercer, Johnny",2-Part,,Jazz,English,,Positivity,,,26,26,,http://www.halleonard.com/product/viewproduct.do?itemid=8551688,http://www.halleonard.com/common/item_gif/08551688.gif,NY
Adeste Fideles,Greg Gilpin,,Shawnee,2 part,Piano,Contemporary,Latin,,"Christmas, Holiday",,,10,10,,http://www.halleonard.com/product/viewproduct.do?itemid=35000209,http://www.halleonard.com/common/item_gif/35000209.gif,NY
Adinu (Sufi Song) (Choral Music of the Muslim World),,Shireen Abu-Khader and André de Quadros,Ibn 'Arabi,Unaccompanied mixed chorus,N/A,Choral Music of the Muslim World,Arabic,,Sufi melody,,,1,1,,http://www.sheetmusicplus.com/title/adinu-sheet-music/19539278,,NY
Adoramus Te,Giovani Pierluigi da Palestrina,Rod Walker,Hal Leonard,SATB,A,Classical,Latin,,Mass,,,1,1,,http://www.jwpepper.com/Adoramus-Te/3289840.item#.VWc1xidUiSo,http://cdn.jwpepper.com/covers/3289840.gif,NY
Adoramus Te Christe,Wolfgang Amadeus Mozart,Don L. Collins,Cambiata,SATB,A,Religious,Latin,,Mass,,,3,3,,http://www.jwpepper.com/6062053.item#.VWc2JCdUiSo,,NY
Adriana Lecouvreur,Francesco Cilea,,Arturo Colautti,,Piano,Score- PV,Italian,,,,1903 Casa Musicale Sonzogno; German translation by Walter Dahms,1,1,,,,NY
Adriana Lecouvreur (DVD),Francesco Cilea,,Arturo Colautti,,,Opera Performance,Italian,,,,"2009 Teatro Regio Torino; Carosi, Alvarez",1,1,DVD,http://www.naxos.com/catalogue/item.asp?item_code=101497,http://cdn.naxos.com/SharedFiles/images/cds/others/101497.gif,NY
Adriana Lecouvreur (DVD),Francesco Cilea,,Arturo Colautti,,,Opera Performance,Italian,,,,"2010 Royal Opera House; Gheorghiu, Kaufmann",1,1,DVD,http://www.roh.org.uk/products/cilea-adriana-lecouvreur-dvd-the-royal-opera,http://d5e1b1dkmmebd.cloudfront.net/catalog/product/cache/1/image/448x299/9df78eab33525d08d6e5fb8d27136e95/s/h/shop_dvd_ro_adriana_lecouvreur_2011elder.jpg,NY
Adriana Lecouvreur (DVD),Francesco Cilea,,Arturo Colautti,,,Opera Performance,Italian,,,,"1976 NHK Hall, Tokyo; Montserrat Caballe, Jose Carreras, Gianfranco Masini",1,1,DVD,http://www.amazon.com/Cilea-Adriana-Lecouvreur-Montserrat-Caballe/dp/B001CISX9E,http://ecx.images-amazon.com/images/I/51mhQyhwxOL.jpg,NY
Adriana Lecouvreur (DVD),Francesco Cilea,,Arturo Colautti,,,Opera Performance,Italian,,,,"2000 Teatro all Scala; Sergei Larin, Daniela Dessi",1,1,DVD,http://www.amazon.co.uk/Cilea-Adriana-Lecouvreur-Teatro-Scala/dp/B000092WBK,http://ecx.images-amazon.com/images/I/51xRcUSvMhL.jpg,NY
Adventures of Richard Wagner,"Opal Wheeler, Floyd Webb",,"E. P. Dutton & Company, Inc.",,,Biography,English,,,,1960,1,1,,http://www.amazon.com/Adventures-Richard-Wagner-Opal-Wheeler/dp/1610060113,http://ecx.images-amazon.com/images/I/51kJ5AJCE3L.jpg,NY
Ae Fond Kiss,Traditional,Lee Kesselman,Boosey & Hawkes,SA,Piano,Folksong,English,,Traditional,,,1,1,,http://www.jwpepper.com/1998046.item#.VWc3iCdUiSo,,NY
